STN,MMDDYY,EVAP
,12/08/2016,0.2
,12/09/2016,0.1
,12/10/2016,0.1
,12/11/2016,0.2
,12/12/2016,0.2
,12/13/2016,0.1
,12/14/2016,0.1
,12/15/2016,0.1
,12/16/2016,0.3
,12/17/2016,0.1
,12/18/2016,0.2
,12/19/2016,0.2
,12/20/2016,0.1
,12/21/2016,0.2
,12/22/2016,0.1
,12/23/2016,0.1
,12/24/2016,0.2
,12/25/2016,0.1
,12/26/2016,0.3
,12/27/2016,0.3
,12/28/2016,0.1
,12/29/2016,0.3
,12/30/2016,0.4
,12/31/2016,0.1
,01/01/2017,0.1
,01/02/2017,0.2
,01/03/2017,0.1
,01/04/2017,0.2
,01/05/2017,0.3
,01/06/2017,0.3
,01/07/2017,0.1
,01/08/2017,0.2
,01/09/2017,0.2
,01/10/2017,0.3
,01/11/2017,0.2
,01/12/2017,0.3
,01/13/2017,0.4
,01/14/2017,0.2
,01/15/2017,0.4
,01/16/2017,0.5
,01/17/2017,0.3
,01/18/2017,0.2
,01/19/2017,0.3
,01/20/2017,0.1
,01/21/2017,0.2
,01/22/2017,0.5
,01/23/2017,0.2
,01/24/2017,0.1
,01/25/2017,0.2
,01/26/2017,0.6
,01/27/2017,0.5
,01/28/2017,0.5
,01/29/2017,0.2
,01/30/2017,0.1
,01/31/2017,0.2
,02/01/2017,0.2
,02/02/2017,0.6
,02/03/2017,0.2
,02/04/2017,0.6
,02/05/2017,0.2
,02/06/2017,0.1
,02/07/2017,0.2
,02/08/2017,0.2
,02/09/2017,0.1
,02/10/2017,0.2
,02/11/2017,0.3
,02/12/2017,0.7
,02/13/2017,0.8
,02/14/2017,0.9
,02/15/2017,1
,02/16/2017,0.2
,02/17/2017,0.3
,02/18/2017,0.4
,02/19/2017,0.3
,02/20/2017,0.2
,02/21/2017,0.9
,02/22/2017,0.5
,02/23/2017,0.3
,02/24/2017,1
,02/25/2017,0.3
,02/26/2017,0.3
,02/27/2017,0.4
,02/28/2017,0.5
,03/01/2017,0.9
,03/02/2017,0.5
,03/03/2017,0.8
,03/04/2017,0.9
,03/05/2017,1.2
,03/06/2017,0.6
,03/07/2017,0.3
,03/08/2017,0.4
,03/09/2017,0.5
,03/10/2017,1.5
,03/11/2017,1.6
,03/12/2017,1.2
,03/13/2017,1.4
,03/14/2017,1.5
,03/15/2017,1.8
,03/16/2017,1.9
,03/17/2017,1.1
,03/18/2017,0.9
,03/19/2017,0.3
,03/20/2017,0.5
,03/21/2017,1.8
,03/22/2017,2.2
,03/23/2017,1.9
,03/24/2017,2.1
,03/25/2017,2.1
,03/26/2017,0.8
,03/27/2017,2.3
,03/28/2017,2.5
,03/29/2017,0.4
,03/30/2017,2
,03/31/2017,2.3
,04/01/2017,1.2
,04/02/2017,2.1
,04/03/2017,2.5
,04/04/2017,2.6
,04/05/2017,1.8
,04/06/2017,1.6
,04/07/2017,1.8
,04/08/2017,1.4
,04/09/2017,3.1
,04/10/2017,1.2
,04/11/2017,1.5
,04/12/2017,0.6
,04/13/2017,2.4
,04/14/2017,1.1
,04/15/2017,2.2
,04/16/2017,2.2
,04/17/2017,2.3
,04/18/2017,1
,04/19/2017,2.1
,04/20/2017,2.6
,04/21/2017,1.2
,04/22/2017,2
,04/23/2017,1.6
,04/24/2017,1
,04/25/2017,2.4
,04/26/2017,2.4
